,bigram,0,1,2,3,4,5,6,7,8,9,10,11,3.1,4.1,5.1,5.2,6.1,7.1,8.1,9.1,10.1,11
0,bed and, a, the, he,,,,,,,,,, the, a, the, a, the, the, the, the, the, the
1,bread and, a, the, he,,,,,,,,,, other, other, the, other, other, the, other, a, other, other
2,salt and, the, a, he,,,,,,,,,, black, salt, salt, salt, salt, the, salt, salt, the, water
3,thunder and, the, the, he,,,,,,,,,, the, the, the, the, the, the, the, the, the, the
4,social media,",", and,"
",,,,,,,,,,",",.,.,"""","""",",",.,",",",",.
5,credit card,., and, or,,,,,,,,,,",",),),),),",",),),),)
6,climate change,., and, or,,,,,,,,,,.,.,.,.,.,.,.,",",",",.
7,artifical intelligence,., and, of,,,,,,,,,,.,.,.,.,.,.,.,.,",",.
8,global warming,.,', he,,,,,,,,,,.,.,.,.,.,.,.,.,.,.
9,state of, the, the, the,,,,,,,,,, the, the, the, the, the, the, the, the, the, the
10,fast food,., and, and,,,,,,,,,,",",",",.,",",.,",",",",",", and,.
11,rising sea,",",-, and,,,,,,,,,,-, of, of,",",., of, of, of, of, of
12,University of, the, the, the,,,,,,,,,, California, California, California, California, California, Washington, California, Colorado, Washington, Central
13,We will, be, be,"
",,,,,,,,,, be, not, be, not, not, be, not, be, not, be
14,Do you, know, are, or,,,,,,,,,, have, think, think, think, have, think, think, think, have, have
15,When you,'re, are, or,,,,,,,,,,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re
16,did not, to, be, or,,,,,,,,,, have, have, have, have, have, have, have, know, have, have
17,You can,'t, read, try,,,,,,,,,, also,'t,'t, also, also, also, also, see,'t, also
18,You may, be, be, or,,,,,,,,,, also, have, have, have, also, have, also, have, not, also
19,He was, a, the, he,,,,,,,,,, a, a, a, a, a, a, a, a, born, also
20,If you, can, are, or,,,,,,,,,,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re
21,when they, were, are,"
",,,,,,,,,,'re,'re,'re,'re,'re,'re,'re, are, are,'re
22,be in, the, the, the,,,,,,,,,, the, the, the, the, the, the, the, the, the, the
23,the end, of, of,"
",,,,,,,,,, of, of, of, of, of, of, of, of, of, of
24,the past, few, few, or,,,,,,,,,, few,",",",",",",",",",",",",",", year, few
25,each other,.,",", he,,,,,,,,,,),),.,'s,'s,",",'s,",",),)
26,and there, was, is,.,,,,,,,,,,'s,'s,'s,'s,'s,'s,'s,'s, is,'s
27,on all, the, the, he,,,,,,,,,, the, the, the, the, the, the, the, the, the, of
28,the form, of, of, and,,,,,,,,,, of, of, of, of, of, of, of, of, of, of
29,in all, the, the, he,,,,,,,,,, the,",", the, the, the, the, the, of,",", of
30,years ago,., than, he,,,,,,,,,,.,.,.,",",.,.,.,",",",",.
31,for example,",",",", he,,,,,,,,,,",",",",",",",",",",",",",",",",",",","
32,to top, of, the,-,,,,,,,,,, it, of, of, of, of, it, of, of,"
", of
33,and on, the, the, the,,,,,,,,,, the, the, the, the, the, the, the, the, the, the
34,as well, as,",", he,,,,,,,,,, as, as, as, as, as, as, as, as, as, as
35,to all,., the, the,,,,,,,,,,",", the, the, the, the, the, the, of, the, of
36,as possible,., than, or,,,,,,,,,,.,.,.,.,.,.,.,.,.,.
37,a member, of, of, of,,,,,,,,,, of, of, of, of, of, of, of, of, of, of
38,more info,., and,"
",,,,,,,,,,],"
", on,],], on,], on,),]
